item_no,original_filename,processed_filename,source_url,file_type,file_size,extraction_method,extraction_status,character_count,korean_character_ratio,title_detected,warning,error
84,181015_고위급_회담(10.15)_결과설명자료-(최종버전).hwp,181015_고위급_회담(10.15)_결과설명자료-(최종버전).md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10770,hwp,30720,pyhwp-hwp5txt,success,3182,0.8862,true,,
83,180919_판문점선언_이행을_위한_군사분야_합의서_해설자료.pdf,180919_판문점선언_이행을_위한_군사분야_합의서_해설자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10791,pdf,4766730,pypdf,success,21872,0.8331,true,,
82,180601_고위급회담결과_설명자료_최종.hwp,180601_고위급회담결과_설명자료_최종.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10683,hwp,34304,pyhwp-hwp5txt,success,3917,0.8992,true,,
80,180427_2018_남북정상회담_결과_설명자료(최종).hwp,180427_2018_남북정상회담_결과_설명자료(최종).md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10670,hwp,82432,pyhwp-hwp5txt,success,8488,0.9188,true,,
79,180109_회담결과_설명자료.hwp,180109_회담결과_설명자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10590,hwp,25600,pyhwp-hwp5txt,success,3365,0.9061,true,,
78,적십자실무접촉_설명자료.hwp,적십자실무접촉_설명자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10233,hwp,26112,pyhwp-hwp5txt,warning,477,0.8532,false,title not detected,
77,남북고위당국자접촉결과_해설자료.hwp,남북고위당국자접촉결과_해설자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10218,hwp,34816,pyhwp-hwp5txt,warning,1897,0.8930,false,title not detected,
76,남북적십자실무접촉(2013.8.23) 설명자료.hwp,남북적십자실무접촉(2013.8.23) 설명자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=994,hwp,35840,pyhwp-hwp5txt,warning,562,0.8701,false,title not detected,
75,개성공단 정상화 합의서 채택(2013.8.14) 관련 설명자료.hwp,개성공단 정상화 합의서 채택(2013.8.14) 관련 설명자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=995,hwp,146432,pyhwp-hwp5txt,success,2227,0.8702,true,,
74,남북적십자회담결과해설자료.hwp,남북적십자회담결과해설자료.md,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=278,hwp,26112,pyhwp-hwp5txt,warning,1196,0.7751,false,title not detected,
