document_id,title,agreement_date,source_url,original_filename,content_empty,warning
agreement:bacdacb4c5fb26ea53737d9988f2acf7657569e7abd48723e6ba898ec55b7845,개성공단에서의 <남북상사중재위원회 구성·운영에 관한 합의서> 이행을 위한 부속합의서(2013.9.11),2013-09-11,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=252,개성공단에서의 남북상사중재위원회 구성운영에 관한 합의서 이행을 위한 .hwp,False,
agreement:1b773119e55b787ae07a31253352c2988452f4e90f4b5ded1e76434df0e03f9c,개성공단 남북공동위원회 구성 및 운영에 관한 합의서(2013.8.28),2013-08-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=250,개성공단 남북공동위원회 구성 및 운영에 관한 합의서(2013.8.28).hwp,False,
agreement:f2343cc3b3e91bb3894f08ff21fdb2660c5c2a5fb46c57dd7a4f72ccb5e46a83,남북적십자 실무접촉(10.01) 합의서,2010-10-01,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=207,101001 남북적십자실무접촉 합의서.hwp,False,
agreement:63b9c54f294419dfad9660c64629254f977ae16c870dc5b559ff0acfe1161945,남북적십자회담('09.8.26~8.28) 합의서,2009-08-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=206,남북적십자회담 합의서.hwp,False,
agreement:157bb19735d12c5d7c157cc9d521385640e7630e9df8e51d4779aa05de3f4a44,금강산관광 활성화를 위한 남북실무접촉 합의서,2008-02-05,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=202,금강산관광 활성화를 위한 남북실무접촉 합의서.hwp,False,
agreement:52f54dc0ee3d9d09096bee9f11138951cdd7b69478ed997ca78769cdd0c2ce2b,2008년 베이징올림픽 남북응원단 참가 합의서,2008-02-04,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=201,080204 2008년 베이징올림픽경기대회 남북응원단 참가를 위한 합의서.hwp,False,
agreement:7dd98feebccb817194d6cd7942062ed90ac90275401b26ba6b25f61d6b0e9f74,남북보건의료·환경보호협력분과위원회 제1차 회의 합의서,2007-12-21,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=205,남북보건의료환경보호협력분과위제1차회의 합의서.hwp,False,
agreement:6ee3637c7ae63c20e9768467f5d5011b8a96452afa1ae8ea708c95050911a84a,남북농업협력 자재·장비 제공에 관한 합의서,2007-12-18,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=192,남북농업협력 자재·장비 제공에 관한 합의서.hwp,False,
agreement:dbe775bfddcb98b4b53cfc77b7f0dd1b49ff70cdc97d0d37d83b515f61ab10dd,남북농수산협력분과위원회 제1차 회의 합의서,2007-12-15,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=191,071215 남북농수산협력분과위원회 제1차 회의 합의서.hwp,False,
agreement:4c2fe95fa98040083ae9c670a3d6232959403157cced30fe373acd2b25da4fdc,남북철도운영공동위원회 제1차 회의 회의록,2007-12-01,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=199,071201-남북철도운영공동위원회 제1차회의 회의록.hwp,False,
agreement:feacbd11b6394cdd6156ed752659eca59b594103cc4dc6637db51a64e9250fbd,제9차 남북적십자회담 합의서,2007-11-30,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=187,제9차 남북적십자회담 합의서.hwp,False,
agreement:1081724e8b023f90f1c190ed89c81afa2fefe4d9576af1853823ccfd109f6df9,제2차 남북국방장관회담 합의서,2007-11-29,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=185,temp.jpg,False,
agreement:d3b6a5652e523281cc79fe55ccebe46133b0951590e2c14d9b83b3e15414fd8f,남북도로협력분과위원회 제1차 실무접촉 합의서,2007-11-29,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=186,남북도로협력분과위원회 제1차 실무접촉 합의서.hwp,False,
agreement:812890e60d5e7af00fbbd4d2b12cde19fc83403423dfd4afbdeeba00991cd9ce,남북철도협력분과위원회 제1차 실무접촉 합의서,2007-11-21,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=184,071121-남북철도협력분과위원회 제1차 실무접촉 합의서.hwp,False,
agreement:167594f055d468360f724685c7347fb606ef05c19e3877233a452e7d12508669,남북사이의 열차운행에 관한 기본합의서의 부속서,2007-11-21,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=183,남북사이의 열차운행에 관한 기본합의서의 부속서.hwp,False,
agreement:de215b6ca3b8c585fbce6ed4006378d52453816503c0f9b86106fa74bb2935be,제1차 남북농업협력 실무접촉 합의서,2007-11-05,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=179,제1차 남북농업협력 실무접촉 합의서.hwp,False,
agreement:46a13e99e0dc191dc54be9bcf5a27e40e0ef097e4987a34f0e72deca8c46e84e,남북관계 발전과 평화번영을 위한 선언,2007-10-04,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=178,aa09.jpg,False,
agreement:8ff0024ec0b63de5ecb819cb103480f8b92dfdcda44ebaae338b179f20f040d2,노무현 대통령의 평양방문에 관한 남북합의서,2007-08-05,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=177,노무현 대통령의 평양방문에 관한 남북합의서.hwp,False,
agreement:d48af1ced0dbb42c6f95952543297a0d7c223312f4e7de73582a892cd3c42934,<남북 경공업 및 지하지원개발 협력에 관한 합의서> 이행을 위한 세부합의서,2007-07-07,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=259,〈남북+경공업+및+지하자원개발+협력에+관한+합의서〉이행을+위한+세부+합의서.hwp,False,
