item_no,category,title,meeting_name,meeting_date,original_filename,local_path,source_url,attachment_id,download_status,error
84,정치,제5차 남북고위급회담,제5차 남북고위급회담,2018.10.15,181015_고위급_회담(10.15)_결과설명자료-(최종버전).hwp,data/raw/agreement_commentaries/181015_고위급_회담(10.15)_결과설명자료-(최종버전).hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10770,10770,already_exists,
83,정치,군사분야_합의서_해설자료,2018 제3차 남북정상회담,2018.09.18 ~ 2018.09.20,180919_판문점선언_이행을_위한_군사분야_합의서_해설자료.pdf,data/raw/agreement_commentaries/180919_판문점선언_이행을_위한_군사분야_합의서_해설자료.pdf,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10791,10791,already_exists,
82,정치,판문점 선언 이행을 위한 남북 고위급회담 결과 설명자료,제3차 남북고위급회담,2018.06.01,180601_고위급회담결과_설명자료_최종.hwp,data/raw/agreement_commentaries/180601_고위급회담결과_설명자료_최종.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10683,10683,already_exists,
81,정치,2차 남북정상회담 결과 발표문,2018 제2차 남북정상회담,2018.05.26,,,,,no_attachment,
80,정치,2018 1차 남북정상회담 결과 설명자료,2018 제1차 남북정상회담,2018.04.27,180427_2018_남북정상회담_결과_설명자료(최종).hwp,data/raw/agreement_commentaries/180427_2018_남북정상회담_결과_설명자료(최종).hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10670,10670,already_exists,
79,정치,남북고위급회담 설명자료,제1차 남북고위급회담,2018.01.09,180109_회담결과_설명자료.hwp,data/raw/agreement_commentaries/180109_회담결과_설명자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10590,10590,already_exists,
78,인도,남북 적십자 실무접촉 설명자료(15.9.7~8),제13차 남북적십자 실무접촉(「8.25 합의」이행을 위한 후속회담),2015.09.07 ~ 2015.09.08,적십자실무접촉_설명자료.hwp,data/raw/agreement_commentaries/적십자실무접촉_설명자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10233,10233,already_exists,
77,정치,남북고위당국자접촉 결과 해설자료,남북 고위당국자 접촉,2015.08.22 ~ 2015.08.24,남북고위당국자접촉결과_해설자료.hwp,data/raw/agreement_commentaries/남북고위당국자접촉결과_해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=10218,10218,already_exists,
76,인도,남북적십자실무접촉(2013.8.23) 설명자료,제11차 남북적십자 실무접촉,2013.08.23,남북적십자실무접촉(2013.8.23) 설명자료.hwp,data/raw/agreement_commentaries/남북적십자실무접촉(2013.8.23) 설명자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=994,994,already_exists,
75,경제,개성공단 정상화 합의서 채택(2013.8.14) 관련 설명자료,제7차 개성공단 남북당국 실무회담,2013.08.14,개성공단 정상화 합의서 채택(2013.8.14) 관련 설명자료.hwp,data/raw/agreement_commentaries/개성공단 정상화 합의서 채택(2013.8.14) 관련 설명자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=995,995,already_exists,
74,인도,남북적십자회담('09.8.26~8.28)결과 해설자료,제10차 남북적십자회담,2009.08.26 ~ 2009.08.28,남북적십자회담결과해설자료.hwp,data/raw/agreement_commentaries/남북적십자회담결과해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=278,278,already_exists,
73,군사,통행·통신·통관 군사적 보장 합의(제7차 남북장성급군사회담)결과 해설자료,제7차 남북장성급군사회담,2007.12.12 ~ 2007.12.14,통행·통신·통관 군사적 보장 합의(제7차 남북장성급군사회담)결과 해설자� .hwp,data/raw/agreement_commentaries/통행·통신·통관 군사적 보장 합의(제7차 남북장성급군사회담)결과 해설자� .hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=277,277,already_exists,
72,경제,남북경제협력공동위원회 제1차 회의 결과 해설자료,남북경제협력공동위원회 회의,2007.12.04 ~ 2007.12.06,남북경제협력공동위원회 제1차 회의 결과 해설자료.hwp,data/raw/agreement_commentaries/남북경제협력공동위원회 제1차 회의 결과 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=276,276,already_exists,
71,인도,제9차 남북적십자회담 합의서 해설자료,제9차 남북적십자회담,2007.11.28 ~ 2007.12.01,제9차 남북적십자회담 합의서 해설자료.hwp,data/raw/agreement_commentaries/제9차 남북적십자회담 합의서 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=275,275,already_exists,
70,군사,제2차 남북국방장관회담 합의서 해설자료,제2차 남북국방장관회담,2007.11.27 ~ 2007.11.29,제2차_남북국방장관회담결과해설자료.hwp,data/raw/agreement_commentaries/제2차_남북국방장관회담결과해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=274,274,already_exists,
69,정치,제1차 남북총리회담 합의서 해설자료,남북총리회담,2007.11.14 ~ 2007.11.16,제1차 남북총리회담 결과해설자료.hwp,data/raw/agreement_commentaries/제1차 남북총리회담 결과해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=273,273,already_exists,
68,정치,2007 남북 정상회담 합의 해설자료,2007 남북정상회담,2007.10.02 ~ 2007.10.04,해설자료.hwp,data/raw/agreement_commentaries/해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=272,272,already_exists,
67,정치,제21차 남북장관급회담 결과 해설자료,제21차 남북장관급회담,2007.05.29 ~ 2007.06.01,제21차 남북장관급회담 결과 해설자료.hwp,data/raw/agreement_commentaries/제21차 남북장관급회담 결과 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=271,271,already_exists,
66,군사,제5차 남북장성급군사회담 결과 해설자료,제5차 남북장성급군사회담,2007.05.08 ~ 2007.05.11,제5차 남북장성급군사회담 결과 해설자료.hwp,data/raw/agreement_commentaries/제5차 남북장성급군사회담 결과 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=270,270,already_exists,
65,경제,남북경제협력추진위원회 제13차 회의 결과 해설자료,남북경제협력추진위원회 제13차 회의,2007.04.18 ~ 2007.04.22,남북경제협력추진위원회 제13차 회의 결과 해설자료.hwp,data/raw/agreement_commentaries/남북경제협력추진위원회 제13차 회의 결과 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=269,269,already_exists,
64,인도,제8차 남북적십자회담 결과 보도 참고자료,제8차 남북적십자회담,2007.04.10 ~ 2007.04.13,제8차 남북적십자회담 결과(보도 참고자료).hwp,data/raw/agreement_commentaries/제8차 남북적십자회담 결과(보도 참고자료).hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=268,268,already_exists,
63,정치,제20차 남북장관급회담 결과 해설자료,제20차 남북장관급회담,2007.02.27 ~ 2007.03.02,제20차 남북장관급회담 결과 해설자료.hwp,data/raw/agreement_commentaries/제20차 남북장관급회담 결과 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=267,267,already_exists,
62,정치,제19차 남북장관급회담 결과 해설자료,제19차 남북장관급회담,2006.07.11 ~ 2006.07.13,06714.hwp,data/raw/agreement_commentaries/06714.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=266,266,already_exists,
61,경제,남북경제협력추진위원회 제12차 회의 결과 해설자료(2006.6.6),남북경제협력추진위원회 제12차 회의,2006.06.03 ~ 2006.06.06,남북경제협력위원회 제12차 회의 결과 해설자료.hwp,data/raw/agreement_commentaries/남북경제협력위원회 제12차 회의 결과 해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=265,265,already_exists,
60,정치,제18차 남북장관급회담 결과 해설자료(2006.4.24),제18차 남북장관급회담,2006.04.21 ~ 2006.04.24,03제18차 남북장관급회담 결과 해설자료-2.hwp,data/raw/agreement_commentaries/03제18차 남북장관급회담 결과 해설자료-2.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=264,264,already_exists,
59,정치,제17차 남북장관급회담 보도해설자료,제17차 남북장관급회담,2005.12.13 ~ 2005.12.16,tj051219.hwp,data/raw/agreement_commentaries/tj051219.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=263,263,downloaded,
58,인도,제2차 화상상봉 실무접촉 보도해설자료,이산가족 화상상봉 관련 제2차 실무접촉,2005.10.05,tj051010.hwp,data/raw/agreement_commentaries/tj051010.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=261,261,downloaded,
57,정치,제16차 남북장관급회담 결과해설자료,제16차 남북장관급회담,2005.09.13 ~ 2005.09.16,제16차장관급회담해설자료.hwp,data/raw/agreement_commentaries/제16차장관급회담해설자료.hwp,https://dialogue.unikorea.go.kr/common/download.do?fid=talkFilesById&id=260,260,already_exists,
