개최회담명,개최회담수,개최방문수,회담시작일,회담종료일
남북적십자 파견원 제1차 접촉,1,1,1971-08-20,1971-08-20
남북적십자 제1차 예비회담,1,1,1971-09-20,1971-09-20
남북적십자 의제문안 제1차 실무회의,1,1,1972-02-21,1972-02-21
남북적십자 진행절차 제1차 실무회의,1,1,1972-07-27,1972-07-27
제1차 남북적십자회담 본회담,1,1,1972-08-29,1972-09-02
남북조절위원회 제1차 공동위원장회의,1,1,1972-10-12,1972-10-12
남북조절위원회 제1차 본회담,1,1,1972-11-30,1972-12-02
남북조절위원회 제1차 간사회의,1,1,1973-03-10,1973-03-10
남북적십자 제1차 실무대표접촉,1,1,1973-11-28,1973-11-28
남북조절위원회 제1차 부위원장회의,1,1,1973-12-05,1973-12-05
남북적십자 제1차 실무회의,1,1,1974-07-10,1974-07-10
변칙대좌 제1차,1,1,1979-02-17,1979-02-17
남북탁구협회 제1차 회의,1,1,1979-02-27,1979-02-27
남북총리회담을 위한 제1차 실무대표접촉,1,1,1980-02-06,1980-02-06
LA올림픽 단일팀 구성 관련 제1차 남북체육회담,1,1,1984-04-09,1984-04-09
수해물자 인도·인수 관련 남북적십자 실무접촉,1,1,1984-09-18,1984-09-18
제1차 남북경제회담,1,1,1984-11-15,1984-11-15
남북적십자 본회담 재개를 위한 예비접촉,1,1,1984-11-20,1984-11-20
제1차 고향방문 및 예술공연단 교환 관련 제1차 실무대표접촉,1,1,1985-07-15,1985-07-15
남북국회회담 제1차 예비접촉,1,1,1985-07-23,1985-07-23
제2차 고향방문 및 예술공연단 교환 관련 제1차 실무대표접촉,1,1,1989-09-27,1989-09-27
서울올림픽 관련 IOC중재 제1차 남북체육회담,1,1,1985-10-09,1985-10-10
남북국회회담 제1차 준비접촉,1,1,1988-08-19,1988-08-19
남북국회회담 준비접촉 수석대표단독접촉,1,1,1988-08-24,1988-08-24
남북고위급회담 제1차 예비회담,1,1,1989-02-08,1989-02-08
90북경 아시아 경기대회 단일팀 구성·참가 관련 제1차 남북체육회담 본회담,1,1,1989-03-09,1989-03-09
90북경 아시아 경기대회 단일팀 구성·참가 관련 제1차 실무대표접촉,1,1,1989-12-01,1989-12-01
제2차 고향방문 및 예술공연단 교환 관련 제1차 실무대표접촉(수석대표단독,1,1,1989-12-04,1989-12-04
남북고위급회담 예비회담 제1차 실무대표접촉,1,1,1990-07-06,1990-07-06
제1차 남북고위급회담 본회담,1,1,1990-09-04,1990-09-07
남북고위급회담 UN가입 관련 제1차 실무대표접촉,1,1,1990-09-18,1990-09-18
제3차 남북고위급회담 개최를 위한 제1차 실무대표접촉,1,1,1990-11-21,1990-11-21
국제경기 단일팀 구성·참가위한 제1차 남북체육회담,1,1,1990-11-29,1990-11-29
국제경기 단일팀 구성·참가위한 제1차 탁구단일팀 실무위원회,1,1,1991-02-21,1991-02-21
국제경기 단일팀 구성·참가위한 제1차 축구단일팀 실무위원회,1,1,1991-02-22,1991-02-22
제4차 남북고위급회담 준비를 위한 제1차 실무대표접촉,1,1,1991-08-05,1991-08-05
남북고위급회담 단일합의서 문안정리를 위한 제1차 대표접촉,1,1,1991-11-11,1991-11-11
남북고위급회담 핵문제협의를 위한 제1차 대표접촉,1,1,1991-12-26,1991-12-26
남북고위급회담 비핵화공동선언 문본교환을 위한 제1차 대표접촉,1,1,1992-01-14,1992-01-14
남북고위급회담 분과위원회 구성·운영문제 협의를 위한 제1차 대표접촉,1,1,1992-01-23,1992-01-23
남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제1차 대표접촉,1,1,1992-02-19,1992-02-19
남북고위급회담 정치분과위원회 제1차 회의,1,1,1992-03-09,1992-03-09
남북고위급회담 군사분과위원회 제1차 회의,1,1,1992-03-13,1992-03-13
남북고위급회담 교류·협력분과위원회 제1차 회의,1,1,1992-03-18,1992-03-18
남북고위급회담 핵통제공동위원회 제1차 회의,1,1,1992-03-19,1992-03-19
남북고위급회담 교류·협력분과위원회 제1차 위원접촉,1,1,1992-03-25,1992-03-25
남북고위급회담 정치분과위원회 제1차 위원접촉,1,1,1992-04-29,1992-04-29
남북고위급회담 핵통제공동위원회 제1차 위원접촉,1,1,1992-05-15,1992-05-15
이산가족 노부모방문단 및 예술단 교환 관련 제1차 적십자실무대표접촉,1,1,1992-06-05,1992-06-05
남북고위급회담 정치분과위원회 제1차 위원장접촉,1,1,1992-07-10,1992-07-10
남북고위급회담 군사분과위원회 위원장접촉,1,1,1992-07-23,1992-07-23
남북고위급회담 군사분과위원회 제1차 위원접촉,1,1,1992-08-03,1992-08-03
남북고위급회담 교류·협력분과위원회 위원장접촉,1,1,1992-09-07,1992-09-07
남북고위급회담 이인모문제와 이산가족면회소설치문제 협의 제1차 대표접촉,1,1,1992-10-01,1992-10-01
남북고위급회담 남북군사직통전화 설치·운영을 위한 통신실무자접촉,1,1,1992-10-28,1992-10-28
남북고위급회담 핵통제공동위원회 위원장접촉,1,1,1993-01-25,1993-01-25
특사교환을 위한 제1차 실무대표접촉,1,1,1993-10-05,1993-10-05
1994년 남북정상회담 예비접촉,1,1,1994-06-28,1994-06-28
1994년 남북정상회담 실무절차 협의를 위한 제1차 대표접촉,1,1,1994-07-01,1994-07-01
1994년 남북정상회담 개최를 위한 통신실무자접촉,1,1,1994-07-07,1994-07-07
1994년 남북정상회담 개최를 위한 경호실무자접촉,1,1,1994-07-08,1994-07-08
대북 쌀지원을 위한 제1차 북경회담,1,1,1995-06-17,1995-06-21
4자회담 공동설명회,1,1,1997-03-05,1997-03-05
4자회담 공동설명회 후속협의,1,1,1997-04-16,1997-04-21
대북 구호물자 전달을 위한 제1차 남북적십자 대표접촉,1,1,1997-05-03,1997-05-05
4자회담 차관보급 3자협의,1,1,1997-06-30,1997-06-30
4자회담 제1차 예비회담,1,1,1997-08-05,1997-08-07
제1차 4자회담 본회담,1,1,1997-12-09,1997-12-10
남북당국대표회담을 위한 비공개접촉,1,1,1998-03-28,1998-03-30
남북당국대표회담,1,1,1998-04-11,1998-04-17
북경 남북비공개 제1차 접촉,1,1,1999-05-12,1999-05-14
제1차 남북 차관급당국회담,1,1,1999-06-22,1999-06-26
2000 남북정상회담 개최 관련 제1차 남북특사접촉,1,1,2000-03-09,2000-03-11
2000 남북정상회담 개최를 위한 제1차 준비접촉,1,1,2000-04-22,2000-04-22
2000 남북정상회담 관련 제1차 통신·보도 실무협의접촉,1,1,2000-05-13,2000-05-13
2000 남북정상회담 관련 경호·의전 실무협의접촉,1,1,2000-05-16,2000-05-16
2000 남북정상회담,1,1,2000-06-13,2000-06-15
제1차 남북적십자회담(남북공동선언 이행을 위한),1,1,2000-06-27,2000-06-30
제1차 남북장관급회담,1,1,2000-07-29,2000-07-31
특사(김용순) 방남,1,1,2000-09-11,2000-09-14
남북경제협력 제1차 실무접촉,1,1,2000-09-25,2000-09-26
제1차 남북국방장관회담,1,1,2000-09-25,2000-09-26
제1차 남북군사실무회담,1,1,2000-11-28,2000-11-28
남북경제협력추진위원회 제1차 회의,1,1,2000-12-27,2000-12-30
남북전력협력 실무협의회,1,1,2001-02-07,2001-02-10
남북임진강수해방지 실무협의회 제1차 회의,1,1,2001-02-21,2001-02-24
금강산관광 제1차 남북당국간회담,1,1,2001-10-03,2001-10-05
대통령특사(임동원) 제1차 방북,1,1,2002-04-03,2002-04-05
제7차 남북장관급회담 준비를 위한 실무대표접촉,1,1,2002-08-02,2002-08-04
부산아시아경기대회 참가를 위한 제1차 실무접촉,1,1,2002-08-17,2002-08-19
남북철도·도로연결 실무협의회 제1차 회의,1,1,2002-09-13,2002-09-17
