연도별회담내용,연도별회담제목,작성일
"- 제1차 : 8.20, 제2차 : 8.26, 제3차 : 8.30, 제4차 : 9.3, 제5차 : 9.16","남북적십자 파견원 접촉 (5회, 중감위회의실)",2004-01-10
"- 제1차 : 9.20, 제2차 : 9.29, 제3차 : 10.6, 제4차 : 10.13, 제5차 : 10.20, - 제6차 : 10.27, 제7차 : 11.3, 제8차 : 11.11, 제9차 : 11.19, 제10차 : 11.24,- 제11차 : 12.3, 제12차 : 12.10, 제13차 : 12.17","남북적십자 예비회담 (13회, 중감위회의실)",2004-02-10
"- 제14차 : 1.10, 제15차 : 1.19, 제16차 : 1.28, 제17차 : 2.3, - 제18차 : 2.10, 제19차 : 2.17, 제20차 : 6.16, 제21차 : 7.10, - 제22차 : 7.14, 제23차 : 7.19, 제24차 : 7.26, 제25차 : 8.11","남북적십자 예비회담 (12회, 중감위회의실)",2004-02-16
"- 제1차 : 2.21, 제2차 : 2.24, 제3차 : 2.28, 제4차 : 3.6, - 제5차 : 3.10, 제6차 : 3.17, 제7차 : 3.24, 제8차 : 4.17, - 제9차 : 5.9, 제10차 : 5.12, 제11차 : 5.19, 제12차 : 5.22, - 제13차 : 6.5","남북적십자 의제문안 실무회의(13회, 중감위회의실)",2004-02-16
"- 제5차 : 3.20～23(평양), 제6차 : 5.8～11(서울), 제7차 : 7.10～13(평양)",남북적십자회담 본회담(3회),2004-02-16
"- 제1차 : 7.27, 제2차 : 8.3, 제3차 : 8.9","남북적십자 진행절차 실무회의(3회, 중감위회의실)",2004-02-16
"- 제1차 : 8.29～9. 2(평양), 제2차 : 9.12～9.16(서울)- 제3차 : 10.23～26(평양), 제4차 : 11.22～24(서울)",남북적십자회담 본회담(4회),2004-02-16
"- 제1차 : 10.12(판문점), 제2차 : 11. 2 ～ 4(평양), 제3차 : 11.30(서울)",남북조절위 공동위원장회의(3회),2004-02-16
- 제1차 : 11.30～12. 2(서울),남북조절위 본회담(1회),2004-02-16
- 제1차 : 1.28(중감위회의실),남북적십자 실무대표접촉(1회),2004-02-18
