년대,날짜,내용
1950년대,1954-02-08,실향사민 북한송환 희망자 등록
1950년대,1954-02-27,북한실향사민 24명 판문점 통해 북으로 송환
1950년대,1955-03-21,"한적, 국제적십자위원회의 이산가족문제 해결 위한 중재 제의 수락"
1950년대,1956-05-09,"한적, 국제적십자위원회에 이산가족의 생사여부와, 행방, 서신교환 및 원주소 귀환알선 요청"
1950년대,1956-06-15,"한적, 실향사민(납북인사) 신고접수(~8. 15, 7,034명)"
1950년대,1956-08-15,"한적, 납북인사 신고접수결과(7,034명), 북측 통보"
1950년대,1956-08-15,"북적, 월남인사(14,032명) 생사확인 한적에 요청"
1950년대,1956-09-08,"한적, 적십자사연맹에 납북인사(17,500명), 미귀환 포로(2,200명)에 대한 행방조사 및 귀환알선 요청"
1950년대,1956-10-28,"북적, 한적에 이산가족 상봉 주선 요청"
1950년대,1957-01-31,"북적, 국제적십자위원회를 통하여 정기적 문안편지 교환 제의"
1950년대,1957-03-19,"한적, 북적의 제의에 대하여 납북인사의 안위 및 행방조사 등 단계적 해결을 제의"
1950년대,1957-05-25,"북적, 한적에 남북이산가족 서신 연락에 관한 서신 발송"
1950년대,1957-11-07,"한적, 월남인사 14,032명중 14,012명의 명단 통보"
1950년대,1957-11-07,"북적, 납북인사 7,034명중 337명의 생존자 명단 통보"
1950년대,1957-12-03,"북적, 국제적십자위원회를 통해 월남인사 14,132명의 행방조사 요청"
1950년대,1958-02-06,"북한, KNA기 납치"
1950년대,1958-02-18,"한적, ICRC에 KNA기 피랍 승객 송환협조 전문 발송"
1950년대,1958-03-01,"평양방송, KNA기 피랍 승객을 한적에 인계하겠다고 통보"
1950년대,1958-03-06,"한적, 판문점에서 KNA기 승객 34명 중 26명 인수"
1960년대,1969-12-11,KAL기 납북
1960년대,1969-12-11,"한적 총재, ICRC에 피납 승객·승무원 송환협조 요청"
1960년대,1969-12-12,"국제적십자위원회, 북적에 KAL기 송환 촉구"
1970년대,1970-01-14,"한적, 108개국 적십자사에 납북 KAL기 탑승자 송환을 위한 협조 요청 공한 발송"
1970년대,1970-01-25,"한적, KAL기 납북자 석방운동을 위해 가족대표 등과 구미 순방. 북적, ICRC에 KAL기 승객 안부 타전. 한적, 민간사절단 피랍승객 송환교섭위해 제네바로 출국."
1970년대,1970-01-27,"ICRC, 납북 KAL기 송환에 최선 다하겠다고 민간사절에 다짐"
1970년대,1970-01-28,"ICRC, 북적에 피납 승객·승무원 송환 요청"
1970년대,1970-02-14,KAL기 승객 52명중 39명 판문점을 통해 귀환. 한적 민간사절단 귀국.
1970년대,1970-02-16,"한적, ICRC와 108개국 적십자사에 KAL기 미송환자 귀환을 위한 협조요청 전문 발송"
1970년대,1970-03-17,"한적총재, 미송환 11명 승객·승무원 가족진정서 ICRC에 발송"
1970년대,1970-07-29,"한적, 문화방송(MBC)이 벌인 납북 KAL기 탑승자 송환 촉구 서명장부를 ICRC에 제출"
1970년대,1971-08-12,"한적, 남·북간의 이산가족찾기 운동을 위한 남북적십자회담 개최제의"
1970년대,1971-08-14,"북적, 남북적십자회담 개최 제의 수락 성명 발표"
1970년대,1971-08-15,"박정희 대통령, 8·15 제26주년 경축사에서 남북적십자회담 지원 다짐"
1970년대,1971-08-20,제1차 남북적십자 파견원 접촉
1970년대,1971-08-21,"한적, 제1차 남북적십자 예비회담 9.28 개최 제의"
1970년대,1971-08-26,제2차 남북적십자 파견원 접촉
1970년대,1971-08-27,"북적, 제1차 남북적십자 예비회담 개최수락 및 날짜 수정 제의"
1970년대,1971-08-30,제3차 남북적십자 파견원 접촉
1970년대,1971-09-03,제4차 남북적십자 파견원 접촉
1970년대,1971-09-15,"한적, 남북적십자 예비회담대표 발표"
1970년대,1971-09-15,"북적 위원장, 남북적십자 예비회담대표 명단발표"
1970년대,1971-09-16,제5차 남북적십자 파견원 접촉
1970년대,1971-09-20,제1차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-09-22,「자유의 집」과「판문점」에 상설 회담연락사무소 각각 설치하고 직통전화 개통
1970년대,1971-09-29,제2차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-10-06,제3차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-10-13,제4차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-10-20,제5차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-10-27,제6차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-11-03,제7차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-11-11,제8차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-11-19,제9차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-11-24,제10차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-12-03,제11차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-12-10,제12차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1971-12-17,제13차 남북적십자 예비회담(판문점 중립국감독위원회회의실)
1970년대,1972-01-10,제14차 남북적십자 예비회담
1970년대,1972-01-11,"박대통령, 연두기자회견에서 남북적십자회담 계속적 지원 다짐"
1970년대,1972-01-19,제15차 남북적십자 예비회담
1970년대,1972-01-28,제16차 남북적십자 예비회담
1970년대,1972-02-03,제17차 남북적십자 예비회담
1970년대,1972-02-04,"서해 대청도 부근, 북한의 포격으로 어선 1척 침몰, 5척 납북(안영35호·36호 서해상에서 어로작업중 납북)"
1970년대,1972-02-10,제18차 남북적십자 예비회담
1970년대,1972-02-17,제19차 남북적십자 예비회담
1970년대,1972-02-21,남북적십자 본회담 의제 문안정리를 위한 제1차 실무회의
1970년대,1972-02-24,남북적십자 본회담 의제 문안정리를 위한 제2차 실무회의
