연도,회담분야,회담명,개최회담,개최국가,개최지역,개최시설,회담시작일자,회담종료일자,회담일수
2018,정치,남북고위급회담,제1차 남북고위급회담,중립,판문점 남측,평화의집,2018-01-09,2018-01-09,1
2018,정치,남북고위급회담,제3차 남북고위급회담,중립,판문점 남측,평화의집,2018-06-01,2018-06-01,1
2018,정치,남북고위급회담,제4차 남북고위급회담,중립,판문점 북측,통일각,2018-08-13,2018-08-13,1
2018,정치,남북고위급회담,제5차 남북고위급회담,중립,판문점 남측,평화의집,2018-10-15,2018-10-15,1
2018,정치,북한 고위급대표단 방남,평창 동계올림픽 개회식 계기 고위급 대표단 방남,남측,서울,워커힐호텔,2018-02-09,2018-02-11,3
2018,정치,북한 고위급대표단 방남,평창 동계올림픽 폐회식 계기 고위급 대표단 방남,남측,서울,워커힐호텔,2018-02-25,2018-02-27,3
2018,정치,대북 특사단 방북,대통령 특별사절단 방북 1차,북측,평양,조선노동당 본관(진달래관),2018-03-05,2018-03-06,2
2018,정치,대북 특사단 방북,대통령 특별사절단 방북 2차,북측,평양,고려호텔,2018-09-05,2018-09-05,1
2018,정치,2018 남북정상회담,제2차 남북고위급회담,중립,판문점 북측,통일각,2018-03-29,2018-03-29,1
2018,정치,2018 남북정상회담,2018 남북정상회담 관련 의전·경호·보도 분야 1차 실무회담,중립,판문점 남측,평화의집,2018-04-05,2018-04-05,1
2018,정치,2018 남북정상회담,2018 남북정상회담 관련 통신 분야 1차 실무회담,중립,판문점 북측,통일각,2018-04-07,2018-04-07,1
2018,정치,2018 남북정상회담,2018 남북정상회담 관련 통신 분야 2차 실무회담,중립,판문점 북측,통일각,2018-04-14,2018-04-14,1
2018,정치,2018 남북정상회담,2018 남북정상회담 관련 의전·경호·보도 분야 2차 실무회담,중립,판문점 북측,통일각,2018-04-18,2018-04-18,1
2018,정치,2018 남북정상회담,2018 남북정상회담 관련 의전·경호·보도 분야 3차 실무회담,중립,판문점 북측,통일각,2018-04-23,2018-04-23,1
2018,정치,2018 남북정상회담,2018 제1차 남북정상회담,중립,판문점 남측,평화의집,2018-04-27,2018-04-27,1
2018,정치,2018 남북정상회담,2018 제2차 남북정상회담,중립,판문점 북측,통일각,2018-05-26,2018-05-26,1
2018,정치,2018 남북정상회담,2018 남북정상회담 평양 남북고위급 실무회담,중립,판문점 북측,통일각,2018-09-14,2018-09-14,1
2018,정치,2018 남북정상회담,2018 제3차 남북정상회담,북측,평양,평양,2018-09-18,2018-09-20,3
2018,정치,남북통신실무회담,남북통신실무회담,북측,개성,남북공동연락사무소,2018-11-23,2018-11-23,1
2018,군사,남북장성급군사회담,제8차 남북장성급군사회담,중립,판문점 북측,통일각,2018-06-14,2018-06-14,1
2018,군사,남북장성급군사회담,제9차 남북장성급군사회담,중립,판문점 남측,평화의집,2018-07-31,2018-07-31,1
2018,군사,남북장성급군사회담,제10차 남북장성급군사회담,중립,판문점 북측,통일각,2018-10-26,2018-10-26,1
2018,군사,남북군사실무회담,제40차 남북군사실무회담,중립,판문점 북측,통일각,2018-09-13,2018-09-14,2
2018,경제,남북철도협력분과회담,남북철도협력분과회담,중립,판문점 남측,평화의집,2018-06-26,2018-06-26,1
2018,경제,남북도로협력분과회담,남북도로협력분과회담,중립,판문점 북측,통일각,2018-06-28,2018-06-28,1
2018,경제,남북산림협력분과회담,남북산림협력분과회담,중립,판문점 남측,평화의집,2018-07-04,2018-07-04,1
2018,경제,남북산림협력분과회담,제2차 남북산림협력 분과회담,북측,개성,남북공동연락사무소,2018-10-22,2018-10-22,1
2018,인도,남북적십자회담,제12차 남북적십자회담,북측,금강산,금강산호텔,2018-06-22,2018-06-22,1
2018,인도,남북보건의료 분과회담,남북보건의료 분과회담,북측,개성,남북공동연락사무소,2018-11-07,2018-11-07,1
2018,사회문화,남북실무접촉,평창동계올림픽 예술단파견을 위한 남북실무접촉,중립,판문점 북측,통일각,2018-01-15,2018-01-15,1
2018,사회문화,남북고위급회담 실무회담,남북고위급회담 실무회담,중립,판문점 남측,평화의집,2018-01-17,2018-01-17,1
2018,사회문화,평창 동계패럴림픽대회 실무회담,평창 동계패럴림픽대회 실무회담,중립,판문점 북측,통일각,2018-02-27,2018-02-27,1
2018,사회문화,예술단 평양 공연 관련 남북실무접촉,예술단 평양 공연 관련 남북실무접촉,중립,판문점 북측,통일각,2018-03-20,2018-03-20,1
2018,사회문화,남북체육회담,남북체육회담,중립,판문점 남측,평화의집,2018-06-18,2018-06-18,1
2018,사회문화,남북체육회담,남북체육분과회담,북측,개성,남북공동연락사무소,2018-11-02,2018-11-02,1
2018,사회문화,남북체육회담,제2차 남북체육분과회담,북측,개성,남북공동연락사무소,2018-12-14,2018-12-14,1
2015,정치,남북 고위당국자 접촉,남북 고위당국자 접촉,중립,판문점 남측,평화의집,2015-08-22,2015-08-24,3
